
=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

Run 1
Fold 1: 0.944246
Fold 2: 0.943227
Fold 3: 0.947508
Fold 4: 0.942921
Fold 5: 0.946381
Fold 6: 0.941896
Fold 7: 0.941896
Fold 8: 0.943527
Fold 9: 0.944241
Fold 10: 0.944954
Meso Accuracy: 0.944080

Run 2
Fold 1: 0.943023
Fold 2: 0.943329
Fold 3: 0.946285
Fold 4: 0.942717
Fold 5: 0.940571
Fold 6: 0.942712
Fold 7: 0.943527
Fold 8: 0.943833
Fold 9: 0.942915
Fold 10: 0.946381
Meso Accuracy: 0.943529

Run 3
Fold 1: 0.944654
Fold 2: 0.942514
Fold 3: 0.940271
Fold 4: 0.945571
Fold 5: 0.947706
Fold 6: 0.942202
Fold 7: 0.944954
Fold 8: 0.942202
Fold 9: 0.942610
Fold 10: 0.947197
Meso Accuracy: 0.943988

Run 4
Fold 1: 0.946285
Fold 2: 0.942310
Fold 3: 0.945062
Fold 4: 0.943940
Fold 5: 0.944139
Fold 6: 0.943935
Fold 7: 0.939857
Fold 8: 0.944648
Fold 9: 0.943527
Fold 10: 0.943629
Meso Accuracy: 0.943733

Run 5
Fold 1: 0.942819
Fold 2: 0.942615
Fold 3: 0.944654
Fold 4: 0.943839
Fold 5: 0.946075
Fold 6: 0.949643
Fold 7: 0.940877
Fold 8: 0.941590
Fold 9: 0.947503
Fold 10: 0.940469
Meso Accuracy: 0.944008

Run 6
Fold 1: 0.940679
Fold 2: 0.942004
Fold 3: 0.948323
Fold 4: 0.947814
Fold 5: 0.943527
Fold 6: 0.938838
Fold 7: 0.944037
Fold 8: 0.944037
Fold 9: 0.943731
Fold 10: 0.942915
Meso Accuracy: 0.943590

Run 7
Fold 1: 0.945571
Fold 2: 0.940679
Fold 3: 0.941290
Fold 4: 0.942514
Fold 5: 0.943323
Fold 6: 0.946279
Fold 7: 0.945260
Fold 8: 0.942610
Fold 9: 0.941488
Fold 10: 0.944546
Meso Accuracy: 0.943356

Run 8
Fold 1: 0.944246
Fold 2: 0.946998
Fold 3: 0.943227
Fold 4: 0.940781
Fold 5: 0.940979
Fold 6: 0.944444
Fold 7: 0.942712
Fold 8: 0.944546
Fold 9: 0.947197
Fold 10: 0.944648
Meso Accuracy: 0.943978

Run 9
Fold 1: 0.946387
Fold 2: 0.941902
Fold 3: 0.945775
Fold 4: 0.946183
Fold 5: 0.944750
Fold 6: 0.941998
Fold 7: 0.945260
Fold 8: 0.942508
Fold 9: 0.943731
Fold 10: 0.942508
Meso Accuracy: 0.944100

Run 10
Fold 1: 0.943329
Fold 2: 0.942921
Fold 3: 0.944552
Fold 4: 0.941188
Fold 5: 0.941794
Fold 6: 0.942712
Fold 7: 0.948216
Fold 8: 0.942813
Fold 9: 0.941488
Fold 10: 0.946483
Meso Accuracy: 0.943550

Run 11
Fold 1: 0.944042
Fold 2: 0.942717
Fold 3: 0.944246
Fold 4: 0.941698
Fold 5: 0.944444
Fold 6: 0.941182
Fold 7: 0.945668
Fold 8: 0.943731
Fold 9: 0.941998
Fold 10: 0.947197
Meso Accuracy: 0.943692

Run 12
Fold 1: 0.939660
Fold 2: 0.942921
Fold 3: 0.940577
Fold 4: 0.943839
Fold 5: 0.945260
Fold 6: 0.944750
Fold 7: 0.940979
Fold 8: 0.946789
Fold 9: 0.944444
Fold 10: 0.944343
Meso Accuracy: 0.943356

Run 13
Fold 1: 0.943635
Fold 2: 0.941290
Fold 3: 0.944042
Fold 4: 0.940067
Fold 5: 0.948420
Fold 6: 0.944139
Fold 7: 0.943629
Fold 8: 0.946177
Fold 9: 0.944037
Fold 10: 0.938736
Meso Accuracy: 0.943417

Run 14
Fold 1: 0.946489
Fold 2: 0.946794
Fold 3: 0.942004
Fold 4: 0.944348
Fold 5: 0.942915
Fold 6: 0.940979
Fold 7: 0.943119
Fold 8: 0.943017
Fold 9: 0.944444
Fold 10: 0.943629
Meso Accuracy: 0.943774

Run 15
Fold 1: 0.943839
Fold 2: 0.946183
Fold 3: 0.945062
Fold 4: 0.940271
Fold 5: 0.947706
Fold 6: 0.943323
Fold 7: 0.941896
Fold 8: 0.942508
Fold 9: 0.941386
Fold 10: 0.942915
Meso Accuracy: 0.943509

Run 16
Fold 1: 0.945266
Fold 2: 0.947508
Fold 3: 0.946387
Fold 4: 0.943940
Fold 5: 0.943425
Fold 6: 0.943629
Fold 7: 0.940775
Fold 8: 0.943425
Fold 9: 0.940367
Fold 10: 0.944343
Meso Accuracy: 0.943906

Run 17
Fold 1: 0.945571
Fold 2: 0.940679
Fold 3: 0.942921
Fold 4: 0.942615
Fold 5: 0.940571
Fold 6: 0.942813
Fold 7: 0.947706
Fold 8: 0.945668
Fold 9: 0.942406
Fold 10: 0.946483
Meso Accuracy: 0.943743

Run 18
Fold 1: 0.938946
Fold 2: 0.943737
Fold 3: 0.945775
Fold 4: 0.944654
Fold 5: 0.942712
Fold 6: 0.943425
Fold 7: 0.945770
Fold 8: 0.941692
Fold 9: 0.947503
Fold 10: 0.942508
Meso Accuracy: 0.943672

Run 19
Fold 1: 0.943940
Fold 2: 0.944144
Fold 3: 0.947610
Fold 4: 0.942717
Fold 5: 0.945158
Fold 6: 0.942100
Fold 7: 0.942202
Fold 8: 0.941284
Fold 9: 0.942610
Fold 10: 0.945464
Meso Accuracy: 0.943723

Run 20
Fold 1: 0.945164
Fold 2: 0.941290
Fold 3: 0.946285
Fold 4: 0.945266
Fold 5: 0.943221
Fold 6: 0.945158
Fold 7: 0.941488
Fold 8: 0.939959
Fold 9: 0.943119
Fold 10: 0.942100
Meso Accuracy: 0.943305

Run 21
Fold 1: 0.946489
Fold 2: 0.942615
Fold 3: 0.944042
Fold 4: 0.946489
Fold 5: 0.944037
Fold 6: 0.942915
Fold 7: 0.942610
Fold 8: 0.943425
Fold 9: 0.940571
Fold 10: 0.943935
Meso Accuracy: 0.943713

Run 22
Fold 1: 0.947202
Fold 2: 0.944348
Fold 3: 0.939456
Fold 4: 0.947202
Fold 5: 0.944954
Fold 6: 0.945973
Fold 7: 0.941081
Fold 8: 0.942100
Fold 9: 0.944241
Fold 10: 0.945362
Meso Accuracy: 0.944192

Run 23
Fold 1: 0.943329
Fold 2: 0.940577
Fold 3: 0.943839
Fold 4: 0.946591
Fold 5: 0.942712
Fold 6: 0.943629
Fold 7: 0.944954
Fold 8: 0.943731
Fold 9: 0.943119
Fold 10: 0.947299
Meso Accuracy: 0.943978

Run 24
Fold 1: 0.945775
Fold 2: 0.942208
Fold 3: 0.945367
Fold 4: 0.944654
Fold 5: 0.949847
Fold 6: 0.944648
Fold 7: 0.942610
Fold 8: 0.945464
Fold 9: 0.941590
Fold 10: 0.937309
Meso Accuracy: 0.943947

Run 25
Fold 1: 0.945979
Fold 2: 0.945877
Fold 3: 0.942004
Fold 4: 0.944756
Fold 5: 0.943731
Fold 6: 0.945056
Fold 7: 0.944444
Fold 8: 0.940877
Fold 9: 0.943323
Fold 10: 0.944139
Meso Accuracy: 0.944019

Run 26
Fold 1: 0.943329
Fold 2: 0.943227
Fold 3: 0.944450
Fold 4: 0.940781
Fold 5: 0.939959
Fold 6: 0.945464
Fold 7: 0.939653
Fold 8: 0.942304
Fold 9: 0.944241
Fold 10: 0.946177
Meso Accuracy: 0.942958

Run 27
Fold 1: 0.944654
Fold 2: 0.942615
Fold 3: 0.942615
Fold 4: 0.946081
Fold 5: 0.946891
Fold 6: 0.937717
Fold 7: 0.944648
Fold 8: 0.942100
Fold 9: 0.945872
Fold 10: 0.940469
Meso Accuracy: 0.943366

Run 28
Fold 1: 0.947304
Fold 2: 0.942819
Fold 3: 0.946794
Fold 4: 0.938538
Fold 5: 0.945362
Fold 6: 0.941182
Fold 7: 0.943425
